"ESV","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ESV130.1450","Bacteria","Firmicutes","Dethiobacteria","Dethiobacterales","Dethiobacteraceae","denovo_g_40","denovo_s_40"
"ESV131.1496","Bacteria","Caldatribacteriota","Caldatribacteriia","Caldatribacteriales","Caldatribacteriaceae","Ca_Caldatribacterium","denovo_s_39"
"ESV132.1446","Bacteria","Firmicutes","Dethiobacteria","Dethiobacterales","Dethiobacteraceae","denovo_g_2","denovo_s_132"
"ESV133.1425","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia","denovo_s_13"
"ESV134.1387","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","denovo_g_42","denovo_s_134"
"ESV135.1448","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes_vadinHA17","denovo_g_10","denovo_s_135"
"ESV136.1462","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae","Lentimicrobium","denovo_s_45"
"ESV137.1408","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","denovo_g_137","denovo_s_137"
"ESV138.1389","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","denovo_g_138","denovo_s_138"
"ESV139.1448","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes_vadinHA17","denovo_g_112","denovo_s_139"
"ESV140.1461","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","denovo_s_140"
"ESV141.1425","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia","denovo_s_13"
"ESV142.1441","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Dietziaceae","Dietzia","denovo_s_142"
"ESV143.1455","Bacteria","Firmicutes","denovo_c_2","DTU014","denovo_f_25","denovo_g_120","denovo_s_143"
"ESV144.1439","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Brooklawnia","denovo_s_68"
"ESV145.1472","Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","Cloacimonadaceae","W5","denovo_s_49"
"ESV146.1445","Bacteria","Firmicutes","Clostridia","Hungateiclostridiaceae","Saccharofermentans","denovo_g_146","denovo_s_146"
"ESV147.1445","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae","Ca_Microthrix","denovo_s_3"
"ESV148.1424","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","denovo_g_148","denovo_s_148"
"ESV149.1442","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae","Tetrasphaera","denovo_s_46"
"ESV150.1521","Bacteria","Firmicutes","Clostridia","Eubacteriales","Garciellaceae","Irregularibacter","denovo_s_150"
"ESV151.1446","Bacteria","Firmicutes","Dethiobacteria","Dethiobacterales","Dethiobacteraceae","denovo_g_37","denovo_s_151"
"ESV152.1439","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","denovo_g_9","denovo_s_9"
"ESV153.1477","Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","Cloacimonadaceae","W5","denovo_s_153"
"ESV154.1451","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Petrimonas","Petrimonas_sulfuriphila"
"ESV155.1442","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae","Tetrasphaera","denovo_s_19"
"ESV156.1442","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae","Tetrasphaera","denovo_s_19"
"ESV157.1425","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","denovo_g_38","denovo_s_38"
"ESV158.1450","Bacteria","Firmicutes","Dethiobacteria","Dethiobacterales","Dethiobacteraceae","denovo_g_40","denovo_s_40"
"ESV159.1426","Bacteria","Chloroflexi","Anaerolineae","Ardenticatenales","denovo_f_109","denovo_g_109","denovo_s_159"
"ESV160.1402","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","denovo_g_160","denovo_s_160"
"ESV161.1446","Bacteria","Firmicutes","Clostridia","Gracilibacteraceae","Lutispora","denovo_g_161","denovo_s_161"
"ESV162.1445","Bacteria","Firmicutes","Clostridia","Gracilibacteraceae","Lutispora","denovo_g_161","denovo_s_162"
"ESV163.1458","Bacteria","Proteobacteria","Gammaproteobacteria","Run-SP154","denovo_f_163","denovo_g_163","denovo_s_163"
"ESV164.1421","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","denovo_g_164","denovo_s_164"
"ESV165.1408","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","denovo_f_35","denovo_g_35","denovo_s_165"
"ESV166.1458","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Dechloromonas","denovo_s_51"
"ESV167.1477","Bacteria","Calditrichota","Calditrichia","Calditrichales","Calditrichaceae","denovo_g_167","denovo_s_167"
"ESV168.1492","Bacteria","Desulfobacterota","Syntrophia","Syntrophales","denovo_f_29","denovo_g_168","denovo_s_168"
"ESV169.1445","Bacteria","Firmicutes","Clostridia","Gracilibacteraceae","Lutispora","denovo_g_169","denovo_s_169"
"ESV170.1444","Bacteria","Firmicutes","Clostridia","Oscillospirales","UCG-010","denovo_g_170","denovo_s_170"
"ESV171.1436","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Propioniciclava","denovo_s_171"
"ESV172.1425","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter","Terrisporobacter_mayombei"
"ESV173.1425","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","denovo_g_173","denovo_s_173"
"ESV174.1425","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia","Romboutsia_ilealis"
"ESV175.1460","Bacteria","Armatimonadota","denovo_c_56","denovo_o_56","denovo_f_175","denovo_g_175","denovo_s_175"
"ESV176.1441","Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","denovo_g_176","denovo_s_176"
"ESV177.1444","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Aestuariimicrobium","denovo_s_177"
"ESV178.1468","Bacteria","Planctomycetota","Phycisphaerae","CCM11a","denovo_f_178","denovo_g_178","denovo_s_178"
"ESV179.1448","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula","denovo_s_179"
"ESV180.1479","Bacteria","Caldatribacteriota","Caldatribacteriia","Caldatribacteriales","Caldatribacteriaceae","Ca_Caldatribacterium","denovo_s_69"
"ESV181.1407","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","C2U","denovo_g_181","denovo_s_181"
"ESV182.1442","Bacteria","Bacteroidota","SJA-28","denovo_o_114","denovo_f_114","denovo_g_114","denovo_s_182"
"ESV183.1425","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia","denovo_s_13"
"ESV184.1445","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae","Ca_Microthrix","denovo_s_1"
"ESV185.1438","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_1","denovo_s_87"
"ESV186.1438","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_1","Clostridium_saudiense"
"ESV187.1439","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Sedimentibacteraceae","Sedimentibacter","denovo_s_187"
"ESV188.1425","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia","Romboutsia_ilealis"
"ESV189.1471","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Proteiniphilum","denovo_s_60"
"ESV190.1446","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae_R-7_group","denovo_s_190"
"ESV191.1425","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter","Terrisporobacter_mayombei"
"ESV192.1441","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Aestuariimicrobium","denovo_s_192"
"ESV193.1425","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia","Romboutsia_ilealis"
"ESV194.1443","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae","Tetrasphaera","denovo_s_19"
"ESV195.1447","Bacteria","Firmicutes","Clostridia","Oscillospirales","UCG-010","denovo_g_170","denovo_s_195"
"ESV196.1425","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia","denovo_s_13"
"ESV197.1453","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","denovo_g_197","denovo_s_197"
"ESV198.1425","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia","denovo_s_13"
"ESV199.1451","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Leptothrix","denovo_s_199"
"ESV200.1408","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Rhodoplanes","denovo_s_200"
"ESV201.1442","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae","Tetrasphaera","denovo_s_201"
"ESV202.1404","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium","denovo_s_202"
"ESV203.1492","Bacteria","Planctomycetota","Pla3_lineage","denovo_o_203","denovo_f_203","denovo_g_203","denovo_s_203"
"ESV204.1446","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae_RC9_gut_group","denovo_s_204"
"ESV205.1449","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes_vadinHA17","denovo_g_10","denovo_s_10"
"ESV206.1453","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","p-1088-a5_gut_group","denovo_s_206"
"ESV207.1473","Bacteria","Acidobacteriota","Aminicenantia","Aminicenantales","denovo_f_207","denovo_g_207","denovo_s_207"
"ESV208.1402","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacter","denovo_s_208"
"ESV209.1425","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Intestinibacter","Intestinibacter_bartlettii"
"ESV210.1442","Bacteria","Firmicutes","Clostridia","Gracilibacteraceae","Gracilibacter","denovo_g_210","denovo_s_210"
"ESV211.1427","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Sedimentibacteraceae","Sedimentibacter","denovo_s_211"
"ESV212.1441","Bacteria","Bacteroidota","SJA-28","denovo_o_114","denovo_f_114","denovo_g_114","denovo_s_212"
"ESV213.1482","Bacteria","Desulfobacterota","Syntrophorhabdia","Syntrophorhabdales","Syntrophorhabdaceae","Syntrophorhabdus","denovo_s_22"
"ESV214.1450","Bacteria","Armatimonadota","denovo_c_56","denovo_o_56","denovo_f_56","denovo_g_214","denovo_s_214"
"ESV215.1446","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae_R-7_group","denovo_s_55"
"ESV216.1462","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae","Lentimicrobium","denovo_s_216"
"ESV217.1458","Bacteria","Firmicutes","D8A-2","denovo_o_11","denovo_f_11","denovo_g_217","denovo_s_217"
"ESV218.1449","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter","denovo_s_218"
"ESV219.1408","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","denovo_g_137","denovo_s_219"
"ESV220.1425","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Intestinibacter","Intestinibacter_bartlettii"
"ESV221.1460","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Zoogloea","Zoogloea_ramigera"
"ESV222.1407","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","denovo_g_80","denovo_s_80"
"ESV223.1451","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Petrimonas","Petrimonas_mucosa"
"ESV224.1452","Bacteria","Acidobacteriota","Aminicenantia","Aminicenantales","denovo_f_21","denovo_g_21","denovo_s_21"
"ESV225.1426","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Proteiniclasticum","denovo_s_225"
"ESV226.1425","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia","denovo_s_13"
"ESV227.1425","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia","denovo_s_13"
"ESV228.1443","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Gordonia","denovo_s_228"
"ESV229.1450","Bacteria","Patescibacteria","Microgenomatia","Ca_Shapirobacteria","denovo_f_229","denovo_g_229","denovo_s_229"
"ESV230.1467","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14","denovo_g_230","denovo_s_230"
"ESV231.1444","Bacteria","Armatimonadota","denovo_c_56","denovo_o_56","denovo_f_56","denovo_g_56","denovo_s_231"
"ESV232.1439","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","denovo_g_232","denovo_s_232"
"ESV233.1435","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus","denovo_s_233"
"ESV234.1496","Bacteria","Caldatribacteriota","Caldatribacteriia","Caldatribacteriales","Caldatribacteriaceae","Ca_Caldatribacterium","denovo_s_39"
"ESV235.1455","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","W5053","denovo_g_71","denovo_s_71"
"ESV236.1439","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Propionicimonas","denovo_s_236"
"ESV237.1444","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae","IMCC26207","denovo_s_237"
"ESV238.1434","Bacteria","Chloroflexi","Anaerolineae","SBR1031","denovo_f_74","denovo_g_74","denovo_s_74"
"ESV239.1444","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae","IMCC26207","denovo_s_237"
"ESV240.1433","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus","denovo_s_64"
"ESV241.1566","Bacteria","Firmicutes","Dethiobacteria","Dethiobacterales","Dethiobacteraceae","denovo_g_40","denovo_s_241"
"ESV242.1463","Bacteria","Firmicutes","denovo_c_2","DTU014","denovo_f_25","denovo_g_242","denovo_s_242"
"ESV243.1448","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes_vadinHA17","denovo_g_243","denovo_s_243"
"ESV244.1441","Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","denovo_g_176","denovo_s_244"
"ESV245.1446","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae_R-7_group","denovo_s_190"
"ESV246.1449","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes_vadinHA17","denovo_g_10","denovo_s_246"
"ESV247.1423","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Leptolinea","denovo_s_247"
"ESV248.1440","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Brooklawnia","denovo_s_68"
"ESV249.1426","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Intestinibacter","Intestinibacter_bartlettii"
"ESV250.1448","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes_vadinHA17","denovo_g_112","denovo_s_112"
"ESV251.1491","Bacteria","Patescibacteria","Dojkabacteria","denovo_o_91","denovo_f_251","denovo_g_251","denovo_s_251"
"ESV252.1442","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae_R-7_group","denovo_s_17"
"ESV253.1424","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","denovo_g_148","denovo_s_148"
"ESV254.1425","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia","denovo_s_13"
"ESV255.1468","Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","Cloacimonadaceae","Ca_Cloacimonas","denovo_s_255"
