"ESV","Phylum","Class","Order","Family","Genus","Species"
"ESV1.1445","denovo_p_1","denovo_c_1","denovo_o_1","denovo_f_1","denovo_g_1","denovo_s_1"
"ESV2.1445","denovo_p_1","denovo_c_2","denovo_o_2","denovo_f_2","denovo_g_2","denovo_s_2"
"ESV3.1445","denovo_p_1","denovo_c_1","denovo_o_1","denovo_f_1","denovo_g_1","denovo_s_3"
"ESV4.1489","denovo_p_1","denovo_c_4","denovo_o_4","denovo_f_4","denovo_g_4","denovo_s_4"
"ESV5.1463","denovo_p_5","denovo_c_5","denovo_o_5","denovo_f_5","denovo_g_5","denovo_s_5"
"ESV6.1457","denovo_p_1","denovo_c_6","denovo_o_6","denovo_f_6","denovo_g_6","denovo_s_6"
"ESV7.1445","denovo_p_5","denovo_c_7","denovo_o_7","denovo_f_7","denovo_g_7","denovo_s_7"
"ESV8.1456","denovo_p_1","denovo_c_6","denovo_o_6","denovo_f_6","denovo_g_6","denovo_s_6"
"ESV9.1439","denovo_p_5","denovo_c_7","denovo_o_7","denovo_f_9","denovo_g_9","denovo_s_9"
"ESV10.1449","denovo_p_5","denovo_c_7","denovo_o_7","denovo_f_7","denovo_g_10","denovo_s_10"
"ESV11.1455","denovo_p_1","denovo_c_2","denovo_o_11","denovo_f_11","denovo_g_11","denovo_s_11"
"ESV12.1440","denovo_p_1","denovo_c_1","denovo_o_12","denovo_f_12","denovo_g_12","denovo_s_12"
"ESV13.1425","denovo_p_1","denovo_c_2","denovo_o_13","denovo_f_13","denovo_g_13","denovo_s_13"
"ESV14.1455","denovo_p_1","denovo_c_2","denovo_o_11","denovo_f_11","denovo_g_11","denovo_s_11"
"ESV15.1445","denovo_p_1","denovo_c_1","denovo_o_1","denovo_f_1","denovo_g_1","denovo_s_1"
"ESV16.1425","denovo_p_1","denovo_c_2","denovo_o_13","denovo_f_13","denovo_g_13","denovo_s_13"
"ESV17.1442","denovo_p_1","denovo_c_2","denovo_o_17","denovo_f_17","denovo_g_17","denovo_s_17"
"ESV18.1476","denovo_p_1","denovo_c_4","denovo_o_18","denovo_f_18","denovo_g_18","denovo_s_18"
"ESV19.1442","denovo_p_1","denovo_c_1","denovo_o_12","denovo_f_12","denovo_g_19","denovo_s_19"
"ESV20.1524","denovo_p_20","denovo_c_20","denovo_o_20","denovo_f_20","denovo_g_20","denovo_s_20"
"ESV21.1452","denovo_p_1","denovo_c_21","denovo_o_21","denovo_f_21","denovo_g_21","denovo_s_21"
"ESV22.1482","denovo_p_1","denovo_c_22","denovo_o_22","denovo_f_22","denovo_g_22","denovo_s_22"
"ESV23.1451","denovo_p_5","denovo_c_7","denovo_o_7","denovo_f_23","denovo_g_23","denovo_s_23"
"ESV24.1500","denovo_p_24","denovo_c_24","denovo_o_24","denovo_f_24","denovo_g_24","denovo_s_24"
"ESV25.1452","denovo_p_1","denovo_c_2","denovo_o_2","denovo_f_25","denovo_g_25","denovo_s_25"
"ESV26.1446","denovo_p_5","denovo_c_7","denovo_o_7","denovo_f_26","denovo_g_26","denovo_s_26"
"ESV27.1438","denovo_p_1","denovo_c_2","denovo_o_17","denovo_f_27","denovo_g_27","denovo_s_27"
"ESV28.1444","denovo_p_1","denovo_c_1","denovo_o_1","denovo_f_1","denovo_g_28","denovo_s_28"
"ESV29.1485","denovo_p_1","denovo_c_22","denovo_o_22","denovo_f_29","denovo_g_29","denovo_s_29"
"ESV30.1458","denovo_p_1","denovo_c_2","denovo_o_17","denovo_f_30","denovo_g_30","denovo_s_30"
"ESV31.1417","denovo_p_1","denovo_c_31","denovo_o_31","denovo_f_31","denovo_g_31","denovo_s_31"
"ESV32.1455","denovo_p_1","denovo_c_2","denovo_o_11","denovo_f_11","denovo_g_11","denovo_s_32"
"ESV33.1445","denovo_p_5","denovo_c_7","denovo_o_7","denovo_f_7","denovo_g_7","denovo_s_7"
"ESV34.1502","denovo_p_24","denovo_c_24","denovo_o_24","denovo_f_24","denovo_g_24","denovo_s_34"
"ESV35.1412","denovo_p_1","denovo_c_35","denovo_o_35","denovo_f_35","denovo_g_35","denovo_s_35"
"ESV36.1447","denovo_p_5","denovo_c_7","denovo_o_7","denovo_f_7","denovo_g_36","denovo_s_36"
"ESV37.1442","denovo_p_1","denovo_c_2","denovo_o_2","denovo_f_2","denovo_g_37","denovo_s_37"
"ESV38.1425","denovo_p_1","denovo_c_31","denovo_o_38","denovo_f_38","denovo_g_38","denovo_s_38"
"ESV39.1496","denovo_p_1","denovo_c_39","denovo_o_39","denovo_f_39","denovo_g_39","denovo_s_39"
"ESV40.1450","denovo_p_1","denovo_c_2","denovo_o_2","denovo_f_2","denovo_g_40","denovo_s_40"
"ESV41.1446","denovo_p_5","denovo_c_7","denovo_o_7","denovo_f_26","denovo_g_26","denovo_s_41"
"ESV42.1387","denovo_p_1","denovo_c_35","denovo_o_35","denovo_f_42","denovo_g_42","denovo_s_42"
"ESV43.1454","denovo_p_1","denovo_c_43","denovo_o_43","denovo_f_43","denovo_g_43","denovo_s_43"
"ESV44.1434","denovo_p_1","denovo_c_2","denovo_o_17","denovo_f_44","denovo_g_44","denovo_s_44"
"ESV45.1462","denovo_p_5","denovo_c_7","denovo_o_7","denovo_f_45","denovo_g_45","denovo_s_45"
"ESV46.1442","denovo_p_1","denovo_c_1","denovo_o_12","denovo_f_12","denovo_g_19","denovo_s_46"
"ESV47.1438","denovo_p_1","denovo_c_2","denovo_o_17","denovo_f_27","denovo_g_27","denovo_s_27"
"ESV48.1464","denovo_p_1","denovo_c_2","denovo_o_11","denovo_f_48","denovo_g_48","denovo_s_48"
"ESV49.1472","denovo_p_20","denovo_c_20","denovo_o_20","denovo_f_20","denovo_g_49","denovo_s_49"
"ESV50.1425","denovo_p_1","denovo_c_2","denovo_o_13","denovo_f_13","denovo_g_13","denovo_s_13"
"ESV51.1460","denovo_p_42","denovo_c_51","denovo_o_51","denovo_f_51","denovo_g_51","denovo_s_51"
"ESV52.1454","denovo_p_1","denovo_c_2","denovo_o_11","denovo_f_11","denovo_g_11","denovo_s_11"
"ESV53.1425","denovo_p_1","denovo_c_2","denovo_o_13","denovo_f_13","denovo_g_13","denovo_s_53"
"ESV54.1441","denovo_p_1","denovo_c_1","denovo_o_12","denovo_f_12","denovo_g_54","denovo_s_54"
"ESV55.1446","denovo_p_1","denovo_c_2","denovo_o_17","denovo_f_55","denovo_g_55","denovo_s_55"
"ESV56.1442","denovo_p_1","denovo_c_56","denovo_o_56","denovo_f_56","denovo_g_56","denovo_s_56"
"ESV57.1442","denovo_p_1","denovo_c_1","denovo_o_12","denovo_f_12","denovo_g_19","denovo_s_19"
"ESV58.1456","denovo_p_1","denovo_c_2","denovo_o_11","denovo_f_11","denovo_g_58","denovo_s_58"
"ESV59.1446","denovo_p_5","denovo_c_7","denovo_o_7","denovo_f_26","denovo_g_59","denovo_s_59"
"ESV60.1471","denovo_p_5","denovo_c_7","denovo_o_60","denovo_f_60","denovo_g_60","denovo_s_60"
"ESV61.1457","denovo_p_42","denovo_c_51","denovo_o_51","denovo_f_51","denovo_g_61","denovo_s_61"
"ESV62.1456","denovo_p_1","denovo_c_6","denovo_o_6","denovo_f_6","denovo_g_6","denovo_s_6"
"ESV63.1452","denovo_p_1","denovo_c_21","denovo_o_21","denovo_f_21","denovo_g_21","denovo_s_21"
"ESV64.1433","denovo_p_1","denovo_c_2","denovo_o_17","denovo_f_44","denovo_g_64","denovo_s_64"
"ESV65.1471","denovo_p_1","denovo_c_39","denovo_o_65","denovo_f_65","denovo_g_65","denovo_s_65"
"ESV66.1456","denovo_p_1","denovo_c_6","denovo_o_6","denovo_f_6","denovo_g_6","denovo_s_6"
"ESV67.1473","denovo_p_1","denovo_c_1","denovo_o_67","denovo_f_67","denovo_g_67","denovo_s_67"
"ESV68.1440","denovo_p_1","denovo_c_1","denovo_o_12","denovo_f_12","denovo_g_54","denovo_s_68"
"ESV69.1479","denovo_p_1","denovo_c_39","denovo_o_39","denovo_f_39","denovo_g_69","denovo_s_69"
"ESV70.1456","denovo_p_1","denovo_c_2","denovo_o_17","denovo_f_30","denovo_g_70","denovo_s_70"
"ESV71.1455","denovo_p_1","denovo_c_2","denovo_o_71","denovo_f_71","denovo_g_71","denovo_s_71"
"ESV72.1437","denovo_p_1","denovo_c_31","denovo_o_38","denovo_f_38","denovo_g_72","denovo_s_72"
"ESV73.1454","denovo_p_1","denovo_c_1","denovo_o_12","denovo_f_12","denovo_g_73","denovo_s_73"
"ESV74.1434","denovo_p_1","denovo_c_31","denovo_o_74","denovo_f_74","denovo_g_74","denovo_s_74"
"ESV75.1469","denovo_p_20","denovo_c_20","denovo_o_20","denovo_f_20","denovo_g_75","denovo_s_75"
"ESV76.1455","denovo_p_1","denovo_c_2","denovo_o_71","denovo_f_71","denovo_g_71","denovo_s_71"
"ESV77.1453","denovo_p_1","denovo_c_43","denovo_o_43","denovo_f_43","denovo_g_43","denovo_s_43"
"ESV78.1455","denovo_p_1","denovo_c_2","denovo_o_11","denovo_f_11","denovo_g_11","denovo_s_78"
"ESV79.1471","denovo_p_1","denovo_c_39","denovo_o_65","denovo_f_65","denovo_g_65","denovo_s_65"
"ESV80.1407","denovo_p_1","denovo_c_35","denovo_o_35","denovo_f_35","denovo_g_80","denovo_s_80"
"ESV81.1418","denovo_p_1","denovo_c_31","denovo_o_31","denovo_f_31","denovo_g_81","denovo_s_81"
"ESV82.1458","denovo_p_82","denovo_c_82","denovo_o_82","denovo_f_82","denovo_g_82","denovo_s_82"
"ESV83.1445","denovo_p_1","denovo_c_1","denovo_o_12","denovo_f_12","denovo_g_83","denovo_s_83"
"ESV84.1442","denovo_p_1","denovo_c_1","denovo_o_12","denovo_f_12","denovo_g_19","denovo_s_19"
"ESV85.1481","denovo_p_1","denovo_c_2","denovo_o_85","denovo_f_85","denovo_g_85","denovo_s_85"
"ESV86.1461","denovo_p_1","denovo_c_2","denovo_o_86","denovo_f_86","denovo_g_86","denovo_s_86"
"ESV87.1438","denovo_p_1","denovo_c_2","denovo_o_17","denovo_f_27","denovo_g_27","denovo_s_87"
"ESV88.1442","denovo_p_1","denovo_c_1","denovo_o_12","denovo_f_12","denovo_g_19","denovo_s_19"
"ESV89.1472","denovo_p_20","denovo_c_20","denovo_o_20","denovo_f_20","denovo_g_49","denovo_s_49"
"ESV90.1457","denovo_p_1","denovo_c_6","denovo_o_6","denovo_f_6","denovo_g_90","denovo_s_90"
"ESV91.1470","denovo_p_91","denovo_c_91","denovo_o_91","denovo_f_91","denovo_g_91","denovo_s_91"
"ESV92.1483","denovo_p_1","denovo_c_22","denovo_o_22","denovo_f_92","denovo_g_92","denovo_s_92"
"ESV93.1476","denovo_p_1","denovo_c_4","denovo_o_18","denovo_f_18","denovo_g_18","denovo_s_18"
"ESV94.1478","denovo_p_1","denovo_c_39","denovo_o_39","denovo_f_39","denovo_g_69","denovo_s_69"
"ESV95.1455","denovo_p_1","denovo_c_2","denovo_o_11","denovo_f_11","denovo_g_11","denovo_s_32"
"ESV96.1407","denovo_p_1","denovo_c_35","denovo_o_35","denovo_f_35","denovo_g_96","denovo_s_96"
"ESV97.1484","denovo_p_1","denovo_c_22","denovo_o_22","denovo_f_97","denovo_g_97","denovo_s_97"
"ESV98.1425","denovo_p_1","denovo_c_2","denovo_o_13","denovo_f_13","denovo_g_13","denovo_s_13"
"ESV99.1434","denovo_p_1","denovo_c_31","denovo_o_74","denovo_f_74","denovo_g_74","denovo_s_74"
"ESV100.1514","denovo_p_1","denovo_c_2","denovo_o_2","denovo_f_100","denovo_g_100","denovo_s_100"
"ESV101.1444","denovo_p_1","denovo_c_1","denovo_o_12","denovo_f_101","denovo_g_101","denovo_s_101"
"ESV102.1425","denovo_p_1","denovo_c_2","denovo_o_13","denovo_f_13","denovo_g_13","denovo_s_13"
"ESV103.1461","denovo_p_1","denovo_c_2","denovo_o_86","denovo_f_86","denovo_g_86","denovo_s_86"
"ESV104.1413","denovo_p_1","denovo_c_35","denovo_o_35","denovo_f_35","denovo_g_104","denovo_s_104"
"ESV105.1455","denovo_p_5","denovo_c_7","denovo_o_105","denovo_f_105","denovo_g_105","denovo_s_105"
"ESV106.1448","denovo_p_1","denovo_c_56","denovo_o_56","denovo_f_56","denovo_g_106","denovo_s_106"
"ESV107.1455","denovo_p_1","denovo_c_2","denovo_o_11","denovo_f_11","denovo_g_11","denovo_s_11"
"ESV108.1442","denovo_p_1","denovo_c_2","denovo_o_2","denovo_f_2","denovo_g_37","denovo_s_37"
"ESV109.1429","denovo_p_1","denovo_c_31","denovo_o_38","denovo_f_109","denovo_g_109","denovo_s_109"
"ESV110.1455","denovo_p_1","denovo_c_2","denovo_o_11","denovo_f_48","denovo_g_110","denovo_s_110"
"ESV111.1406","denovo_p_1","denovo_c_35","denovo_o_35","denovo_f_42","denovo_g_42","denovo_s_111"
"ESV112.1448","denovo_p_5","denovo_c_7","denovo_o_7","denovo_f_112","denovo_g_112","denovo_s_112"
"ESV113.1471","denovo_p_5","denovo_c_7","denovo_o_60","denovo_f_60","denovo_g_60","denovo_s_60"
"ESV114.1442","denovo_p_114","denovo_c_114","denovo_o_114","denovo_f_114","denovo_g_114","denovo_s_114"
"ESV115.1500","denovo_p_24","denovo_c_24","denovo_o_24","denovo_f_24","denovo_g_24","denovo_s_24"
"ESV116.1444","denovo_p_1","denovo_c_56","denovo_o_56","denovo_f_56","denovo_g_56","denovo_s_116"
"ESV117.1406","denovo_p_1","denovo_c_31","denovo_o_74","denovo_f_117","denovo_g_117","denovo_s_117"
"ESV118.1445","denovo_p_1","denovo_c_1","denovo_o_1","denovo_f_1","denovo_g_1","denovo_s_3"
"ESV119.1425","denovo_p_1","denovo_c_2","denovo_o_13","denovo_f_13","denovo_g_13","denovo_s_13"
"ESV120.1455","denovo_p_1","denovo_c_2","denovo_o_2","denovo_f_25","denovo_g_120","denovo_s_120"
"ESV121.1464","denovo_p_1","denovo_c_2","denovo_o_71","denovo_f_121","denovo_g_121","denovo_s_121"
"ESV122.1481","denovo_p_1","denovo_c_2","denovo_o_85","denovo_f_85","denovo_g_85","denovo_s_85"
"ESV123.1487","denovo_p_1","denovo_c_22","denovo_o_22","denovo_f_29","denovo_g_123","denovo_s_123"
"ESV124.1427","denovo_p_1","denovo_c_31","denovo_o_38","denovo_f_109","denovo_g_109","denovo_s_124"
"ESV125.1472","denovo_p_5","denovo_c_7","denovo_o_60","denovo_f_60","denovo_g_125","denovo_s_125"
"ESV126.1461","denovo_p_1","denovo_c_2","denovo_o_86","denovo_f_86","denovo_g_86","denovo_s_86"
"ESV127.1458","denovo_p_82","denovo_c_82","denovo_o_82","denovo_f_82","denovo_g_82","denovo_s_82"
"ESV128.1447","denovo_p_1","denovo_c_56","denovo_o_56","denovo_f_56","denovo_g_56","denovo_s_128"
