"ESV","Phylum","Class","Order","Family","Genus","Species"
"ESV129.1481","denovo_p_1","denovo_c_2","denovo_o_85","denovo_f_85","denovo_g_85","denovo_s_85"
"ESV130.1450","denovo_p_1","denovo_c_2","denovo_o_2","denovo_f_2","denovo_g_40","denovo_s_40"
"ESV131.1496","denovo_p_1","denovo_c_39","denovo_o_39","denovo_f_39","denovo_g_39","denovo_s_39"
"ESV132.1446","denovo_p_1","denovo_c_2","denovo_o_2","denovo_f_2","denovo_g_2","denovo_s_132"
"ESV133.1425","denovo_p_1","denovo_c_2","denovo_o_13","denovo_f_13","denovo_g_13","denovo_s_13"
"ESV134.1387","denovo_p_1","denovo_c_35","denovo_o_35","denovo_f_42","denovo_g_42","denovo_s_134"
"ESV135.1448","denovo_p_5","denovo_c_7","denovo_o_7","denovo_f_7","denovo_g_10","denovo_s_135"
"ESV136.1462","denovo_p_5","denovo_c_7","denovo_o_7","denovo_f_45","denovo_g_45","denovo_s_45"
"ESV137.1408","denovo_p_1","denovo_c_35","denovo_o_35","denovo_f_35","denovo_g_137","denovo_s_137"
"ESV138.1389","denovo_p_1","denovo_c_35","denovo_o_35","denovo_f_42","denovo_g_138","denovo_s_138"
"ESV139.1448","denovo_p_5","denovo_c_7","denovo_o_7","denovo_f_112","denovo_g_112","denovo_s_139"
"ESV140.1461","denovo_p_1","denovo_c_140","denovo_o_140","denovo_f_140","denovo_g_140","denovo_s_140"
"ESV141.1425","denovo_p_1","denovo_c_2","denovo_o_13","denovo_f_13","denovo_g_13","denovo_s_13"
"ESV142.1441","denovo_p_1","denovo_c_1","denovo_o_12","denovo_f_101","denovo_g_142","denovo_s_142"
"ESV143.1455","denovo_p_1","denovo_c_2","denovo_o_2","denovo_f_25","denovo_g_120","denovo_s_143"
"ESV144.1439","denovo_p_1","denovo_c_1","denovo_o_12","denovo_f_12","denovo_g_54","denovo_s_68"
"ESV145.1472","denovo_p_20","denovo_c_20","denovo_o_20","denovo_f_20","denovo_g_49","denovo_s_49"
"ESV146.1445","denovo_p_1","denovo_c_6","denovo_o_6","denovo_f_146","denovo_g_146","denovo_s_146"
"ESV147.1445","denovo_p_1","denovo_c_1","denovo_o_1","denovo_f_1","denovo_g_1","denovo_s_3"
"ESV148.1424","denovo_p_1","denovo_c_31","denovo_o_38","denovo_f_38","denovo_g_148","denovo_s_148"
"ESV149.1442","denovo_p_1","denovo_c_1","denovo_o_12","denovo_f_12","denovo_g_19","denovo_s_46"
"ESV150.1521","denovo_p_1","denovo_c_2","denovo_o_71","denovo_f_121","denovo_g_150","denovo_s_150"
"ESV151.1446","denovo_p_1","denovo_c_2","denovo_o_2","denovo_f_2","denovo_g_37","denovo_s_151"
"ESV152.1439","denovo_p_5","denovo_c_7","denovo_o_7","denovo_f_9","denovo_g_9","denovo_s_9"
"ESV153.1477","denovo_p_20","denovo_c_20","denovo_o_20","denovo_f_153","denovo_g_153","denovo_s_153"
"ESV154.1451","denovo_p_5","denovo_c_7","denovo_o_60","denovo_f_60","denovo_g_154","denovo_s_154"
"ESV155.1442","denovo_p_1","denovo_c_1","denovo_o_12","denovo_f_12","denovo_g_19","denovo_s_19"
"ESV156.1442","denovo_p_1","denovo_c_1","denovo_o_12","denovo_f_12","denovo_g_19","denovo_s_19"
"ESV157.1425","denovo_p_1","denovo_c_31","denovo_o_38","denovo_f_38","denovo_g_38","denovo_s_38"
"ESV158.1450","denovo_p_1","denovo_c_2","denovo_o_2","denovo_f_2","denovo_g_40","denovo_s_40"
"ESV159.1426","denovo_p_1","denovo_c_31","denovo_o_38","denovo_f_109","denovo_g_109","denovo_s_159"
"ESV160.1402","denovo_p_160","denovo_c_160","denovo_o_160","denovo_f_160","denovo_g_160","denovo_s_160"
"ESV161.1446","denovo_p_1","denovo_c_2","denovo_o_17","denovo_f_161","denovo_g_161","denovo_s_161"
"ESV162.1445","denovo_p_1","denovo_c_2","denovo_o_17","denovo_f_161","denovo_g_161","denovo_s_162"
"ESV163.1458","denovo_p_42","denovo_c_51","denovo_o_51","denovo_f_163","denovo_g_163","denovo_s_163"
"ESV164.1421","denovo_p_1","denovo_c_31","denovo_o_38","denovo_f_38","denovo_g_164","denovo_s_164"
"ESV165.1408","denovo_p_1","denovo_c_35","denovo_o_35","denovo_f_35","denovo_g_35","denovo_s_165"
"ESV166.1458","denovo_p_42","denovo_c_51","denovo_o_51","denovo_f_51","denovo_g_51","denovo_s_51"
"ESV167.1477","denovo_p_1","denovo_c_4","denovo_o_167","denovo_f_167","denovo_g_167","denovo_s_167"
"ESV168.1492","denovo_p_1","denovo_c_22","denovo_o_22","denovo_f_29","denovo_g_168","denovo_s_168"
"ESV169.1445","denovo_p_1","denovo_c_2","denovo_o_17","denovo_f_161","denovo_g_169","denovo_s_169"
"ESV170.1444","denovo_p_1","denovo_c_6","denovo_o_6","denovo_f_170","denovo_g_170","denovo_s_170"
"ESV171.1436","denovo_p_1","denovo_c_1","denovo_o_12","denovo_f_12","denovo_g_171","denovo_s_171"
"ESV172.1425","denovo_p_1","denovo_c_2","denovo_o_13","denovo_f_13","denovo_g_13","denovo_s_53"
"ESV173.1425","denovo_p_1","denovo_c_31","denovo_o_31","denovo_f_173","denovo_g_173","denovo_s_173"
"ESV174.1425","denovo_p_1","denovo_c_2","denovo_o_13","denovo_f_13","denovo_g_13","denovo_s_13"
"ESV175.1460","denovo_p_1","denovo_c_56","denovo_o_56","denovo_f_175","denovo_g_175","denovo_s_175"
"ESV176.1441","denovo_p_1","denovo_c_43","denovo_o_43","denovo_f_176","denovo_g_176","denovo_s_176"
"ESV177.1444","denovo_p_1","denovo_c_1","denovo_o_12","denovo_f_12","denovo_g_54","denovo_s_177"
"ESV178.1468","denovo_p_178","denovo_c_178","denovo_o_178","denovo_f_178","denovo_g_178","denovo_s_178"
"ESV179.1448","denovo_p_179","denovo_c_179","denovo_o_179","denovo_f_179","denovo_g_179","denovo_s_179"
"ESV180.1479","denovo_p_1","denovo_c_39","denovo_o_39","denovo_f_39","denovo_g_69","denovo_s_69"
"ESV181.1407","denovo_p_1","denovo_c_35","denovo_o_35","denovo_f_35","denovo_g_181","denovo_s_181"
"ESV182.1442","denovo_p_114","denovo_c_114","denovo_o_114","denovo_f_114","denovo_g_114","denovo_s_182"
"ESV183.1425","denovo_p_1","denovo_c_2","denovo_o_13","denovo_f_13","denovo_g_13","denovo_s_13"
"ESV184.1445","denovo_p_1","denovo_c_1","denovo_o_1","denovo_f_1","denovo_g_1","denovo_s_1"
"ESV185.1438","denovo_p_1","denovo_c_2","denovo_o_17","denovo_f_27","denovo_g_27","denovo_s_87"
"ESV186.1438","denovo_p_1","denovo_c_2","denovo_o_17","denovo_f_27","denovo_g_27","denovo_s_27"
"ESV187.1439","denovo_p_1","denovo_c_2","denovo_o_71","denovo_f_187","denovo_g_187","denovo_s_187"
"ESV188.1425","denovo_p_1","denovo_c_2","denovo_o_13","denovo_f_13","denovo_g_13","denovo_s_13"
"ESV189.1471","denovo_p_5","denovo_c_7","denovo_o_60","denovo_f_60","denovo_g_60","denovo_s_60"
"ESV190.1446","denovo_p_1","denovo_c_2","denovo_o_17","denovo_f_55","denovo_g_190","denovo_s_190"
"ESV191.1425","denovo_p_1","denovo_c_2","denovo_o_13","denovo_f_13","denovo_g_13","denovo_s_53"
"ESV192.1441","denovo_p_1","denovo_c_1","denovo_o_12","denovo_f_12","denovo_g_192","denovo_s_192"
"ESV193.1425","denovo_p_1","denovo_c_2","denovo_o_13","denovo_f_13","denovo_g_13","denovo_s_13"
"ESV194.1443","denovo_p_1","denovo_c_1","denovo_o_12","denovo_f_12","denovo_g_19","denovo_s_19"
"ESV195.1447","denovo_p_1","denovo_c_6","denovo_o_6","denovo_f_170","denovo_g_170","denovo_s_195"
"ESV196.1425","denovo_p_1","denovo_c_2","denovo_o_13","denovo_f_13","denovo_g_13","denovo_s_13"
"ESV197.1453","denovo_p_1","denovo_c_2","denovo_o_17","denovo_f_44","denovo_g_197","denovo_s_197"
"ESV198.1425","denovo_p_1","denovo_c_2","denovo_o_13","denovo_f_13","denovo_g_13","denovo_s_13"
"ESV199.1451","denovo_p_42","denovo_c_51","denovo_o_51","denovo_f_51","denovo_g_199","denovo_s_199"
"ESV200.1408","denovo_p_1","denovo_c_35","denovo_o_35","denovo_f_35","denovo_g_200","denovo_s_200"
"ESV201.1442","denovo_p_1","denovo_c_1","denovo_o_12","denovo_f_12","denovo_g_19","denovo_s_201"
"ESV202.1404","denovo_p_1","denovo_c_35","denovo_o_35","denovo_f_35","denovo_g_202","denovo_s_202"
"ESV203.1492","denovo_p_179","denovo_c_203","denovo_o_203","denovo_f_203","denovo_g_203","denovo_s_203"
"ESV204.1446","denovo_p_5","denovo_c_7","denovo_o_7","denovo_f_26","denovo_g_59","denovo_s_204"
"ESV205.1449","denovo_p_5","denovo_c_7","denovo_o_7","denovo_f_7","denovo_g_10","denovo_s_10"
"ESV206.1453","denovo_p_179","denovo_c_179","denovo_o_206","denovo_f_206","denovo_g_206","denovo_s_206"
"ESV207.1473","denovo_p_1","denovo_c_21","denovo_o_207","denovo_f_207","denovo_g_207","denovo_s_207"
"ESV208.1402","denovo_p_1","denovo_c_35","denovo_o_35","denovo_f_42","denovo_g_138","denovo_s_208"
"ESV209.1425","denovo_p_1","denovo_c_2","denovo_o_13","denovo_f_13","denovo_g_13","denovo_s_209"
"ESV210.1442","denovo_p_1","denovo_c_2","denovo_o_17","denovo_f_161","denovo_g_210","denovo_s_210"
"ESV211.1427","denovo_p_1","denovo_c_2","denovo_o_71","denovo_f_187","denovo_g_187","denovo_s_211"
"ESV212.1441","denovo_p_114","denovo_c_114","denovo_o_114","denovo_f_114","denovo_g_114","denovo_s_212"
"ESV213.1482","denovo_p_1","denovo_c_22","denovo_o_22","denovo_f_22","denovo_g_22","denovo_s_22"
"ESV214.1450","denovo_p_1","denovo_c_56","denovo_o_56","denovo_f_56","denovo_g_214","denovo_s_214"
"ESV215.1446","denovo_p_1","denovo_c_2","denovo_o_17","denovo_f_55","denovo_g_55","denovo_s_55"
"ESV216.1462","denovo_p_5","denovo_c_5","denovo_o_5","denovo_f_5","denovo_g_216","denovo_s_216"
"ESV217.1458","denovo_p_1","denovo_c_2","denovo_o_11","denovo_f_11","denovo_g_217","denovo_s_217"
"ESV218.1449","denovo_p_5","denovo_c_7","denovo_o_105","denovo_f_105","denovo_g_218","denovo_s_218"
"ESV219.1408","denovo_p_1","denovo_c_35","denovo_o_35","denovo_f_35","denovo_g_137","denovo_s_219"
"ESV220.1425","denovo_p_1","denovo_c_2","denovo_o_13","denovo_f_13","denovo_g_13","denovo_s_209"
"ESV221.1460","denovo_p_42","denovo_c_51","denovo_o_51","denovo_f_51","denovo_g_221","denovo_s_221"
"ESV222.1407","denovo_p_1","denovo_c_35","denovo_o_35","denovo_f_35","denovo_g_80","denovo_s_80"
"ESV223.1451","denovo_p_5","denovo_c_7","denovo_o_60","denovo_f_60","denovo_g_154","denovo_s_223"
"ESV224.1452","denovo_p_1","denovo_c_21","denovo_o_21","denovo_f_21","denovo_g_21","denovo_s_21"
"ESV225.1426","denovo_p_1","denovo_c_2","denovo_o_17","denovo_f_27","denovo_g_225","denovo_s_225"
"ESV226.1425","denovo_p_1","denovo_c_2","denovo_o_13","denovo_f_13","denovo_g_13","denovo_s_13"
"ESV227.1425","denovo_p_1","denovo_c_2","denovo_o_13","denovo_f_13","denovo_g_13","denovo_s_13"
"ESV228.1443","denovo_p_1","denovo_c_1","denovo_o_12","denovo_f_12","denovo_g_83","denovo_s_228"
"ESV229.1450","denovo_p_229","denovo_c_229","denovo_o_229","denovo_f_229","denovo_g_229","denovo_s_229"
"ESV230.1467","denovo_p_1","denovo_c_1","denovo_o_67","denovo_f_230","denovo_g_230","denovo_s_230"
"ESV231.1444","denovo_p_1","denovo_c_56","denovo_o_56","denovo_f_56","denovo_g_56","denovo_s_231"
"ESV232.1439","denovo_p_1","denovo_c_2","denovo_o_13","denovo_f_232","denovo_g_232","denovo_s_232"
"ESV233.1435","denovo_p_1","denovo_c_2","denovo_o_17","denovo_f_44","denovo_g_64","denovo_s_233"
"ESV234.1496","denovo_p_1","denovo_c_39","denovo_o_39","denovo_f_39","denovo_g_39","denovo_s_39"
"ESV235.1455","denovo_p_1","denovo_c_2","denovo_o_71","denovo_f_71","denovo_g_71","denovo_s_71"
"ESV236.1439","denovo_p_1","denovo_c_1","denovo_o_12","denovo_f_12","denovo_g_236","denovo_s_236"
"ESV237.1444","denovo_p_1","denovo_c_1","denovo_o_1","denovo_f_1","denovo_g_237","denovo_s_237"
"ESV238.1434","denovo_p_1","denovo_c_31","denovo_o_74","denovo_f_74","denovo_g_74","denovo_s_74"
"ESV239.1444","denovo_p_1","denovo_c_1","denovo_o_1","denovo_f_1","denovo_g_237","denovo_s_237"
"ESV240.1433","denovo_p_1","denovo_c_2","denovo_o_17","denovo_f_44","denovo_g_64","denovo_s_64"
"ESV241.1566","denovo_p_1","denovo_c_2","denovo_o_2","denovo_f_2","denovo_g_40","denovo_s_241"
"ESV242.1463","denovo_p_1","denovo_c_2","denovo_o_2","denovo_f_25","denovo_g_242","denovo_s_242"
"ESV243.1448","denovo_p_5","denovo_c_7","denovo_o_7","denovo_f_112","denovo_g_243","denovo_s_243"
"ESV244.1441","denovo_p_1","denovo_c_43","denovo_o_43","denovo_f_176","denovo_g_176","denovo_s_244"
"ESV245.1446","denovo_p_1","denovo_c_2","denovo_o_17","denovo_f_55","denovo_g_190","denovo_s_190"
"ESV246.1449","denovo_p_5","denovo_c_7","denovo_o_7","denovo_f_7","denovo_g_10","denovo_s_246"
"ESV247.1423","denovo_p_1","denovo_c_31","denovo_o_38","denovo_f_38","denovo_g_247","denovo_s_247"
"ESV248.1440","denovo_p_1","denovo_c_1","denovo_o_12","denovo_f_12","denovo_g_54","denovo_s_68"
"ESV249.1426","denovo_p_1","denovo_c_2","denovo_o_13","denovo_f_13","denovo_g_13","denovo_s_209"
"ESV250.1448","denovo_p_5","denovo_c_7","denovo_o_7","denovo_f_112","denovo_g_112","denovo_s_112"
"ESV251.1491","denovo_p_91","denovo_c_91","denovo_o_91","denovo_f_251","denovo_g_251","denovo_s_251"
"ESV252.1442","denovo_p_1","denovo_c_2","denovo_o_17","denovo_f_17","denovo_g_17","denovo_s_17"
"ESV253.1424","denovo_p_1","denovo_c_31","denovo_o_38","denovo_f_38","denovo_g_148","denovo_s_148"
"ESV254.1425","denovo_p_1","denovo_c_2","denovo_o_13","denovo_f_13","denovo_g_13","denovo_s_13"
"ESV255.1468","denovo_p_20","denovo_c_20","denovo_o_20","denovo_f_20","denovo_g_75","denovo_s_255"
